Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
1,-1,3.754761,13,0
7,-1,3.910845,14,0
9,-1,5.084363,17,0
11,-1,4.720512,16,0
6,-1,4.084568,15,0
5,-1,4.354855,16,0
4,-1,6.024540,17,0
8,-1,5.425137,17,0
3,-1,4.252595,16,0
10,-1,4.651685,15,0
2,-1,4.497145,17,0
9,0,5.076630,18,1
6,0,3.907355,14,1
10,0,4.550440,14,1
3,0,4.127284,16,1
8,0,4.413692,18,1
6,1,3.840382,13,1
10,1,4.516901,14,1
1,0,3.726546,13,3
4,0,4.903513,18,2
6,2,3.759662,12,1
5,0,3.844946,16,3
2,0,4.275742,17,3
7,0,3.687117,14,5
2,1,4.203965,16,1
3,1,4.086222,16,3
11,0,4.719965,17,6
2,2,4.007255,16,1
5,1,3.662796,16,2
9,1,4.742963,18,5
3,2,3.756405,16,2
4,1,4.892281,18,5
9,2,4.707329,18,2
11,1,4.719639,17,3
2,3,3.930094,15,4
7,1,3.537383,14,6
1,1,3.676596,13,9
11,2,4.501300,17,2
9,3,4.360864,17,2
2,4,3.874764,15,2
5,2,3.629027,16,5
3,3,3.707929,16,5
8,1,4.090762,17,9
5,3,3.619301,16,1
7,2,3.474482,14,3
1,2,3.461154,13,3
10,2,4.492362,13,10
4,2,4.885645,18,5
11,3,4.490519,16,3
7,3,3.395099,13,2
5,4,3.574561,16,3
11,4,4.159359,17,2
3,4,3.665655,16,5
9,4,4.327431,17,6
2,5,3.826403,14,6
3,5,3.589072,16,1
5,5,3.564750,16,2
6,3,3.667879,11,17
2,6,3.792737,14,1
4,3,4.292156,18,5
11,5,4.058033,16,3
10,3,4.292043,12,6
11,6,3.986445,16,1
10,4,4.280978,12,1
7,4,3.391139,14,7
11,7,3.972911,16,1
4,4,4.249291,18,2
5,6,3.534969,16,4
4,5,4.094457,18,1
2,7,3.451625,14,5
9,5,4.278564,17,5
10,5,4.243990,11,5
8,2,4.047336,16,11
11,8,3.926044,16,4
9,6,4.261673,17,2
9,7,4.112232,17,1
7,5,3.385287,14,7
1,3,3.389842,12,16
7,6,3.355465,14,1
8,3,3.927146,16,3
7,7,3.289200,13,1
5,7,3.499197,15,7
1,4,3.317911,11,2
10,6,4.189210,10,6
1,5,3.268225,11,2
6,4,3.639916,11,17
2,8,3.406830,14,10
