runID,runNumber,RuleCount,NTerminalCount,seed,stepsTaken,totalNeighborsEvaluated,bestSize,bestBitsPerBase
1_200_30,1,200,30,100,100,22,370,10,2.9324227233610656
2_200_31,2,200,31,101,101,25,359,10,2.7707567301495715
3_200_32,3,200,32,102,102,18,160,10,2.7961958361251145
1_201_30,1,201,30,100,100,20,232,7,2.992050806928461
2_201_31,2,201,31,101,101,19,153,6,3.1777272877523415
3_201_32,3,201,32,102,102,13,145,10,2.77831068642477
1_202_30,1,202,30,100,100,25,245,9,3.0607962037467313
2_202_31,2,202,31,101,101,22,279,15,3.2876769555057535
3_202_32,3,202,32,102,102,25,193,12,3.340501456442482
1_203_30,1,203,30,100,100,10,138,18,3.2421680177802163
2_203_31,2,203,31,101,101,25,219,15,2.8790400660927284
3_203_32,3,203,32,102,102,25,111,17,3.124354854842793
