Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
1,-1,4.324810,20,0
3,-1,3.864646,19,0
2,-1,5.159412,19,0
3,0,3.819387,19,1
1,0,4.236728,21,1
2,0,4.504127,19,1
3,1,3.762502,19,3
1,1,4.182359,20,3
1,2,4.182126,21,1
2,1,4.402365,19,5
3,2,3.715405,18,4
2,2,4.192960,19,5
2,3,3.940613,19,1
3,3,3.661051,17,4
3,4,3.348265,17,3
2,4,3.896252,19,7
2,5,3.648244,19,2
1,3,4.106475,21,14
3,5,3.298062,17,7
1,4,3.915799,21,7
1,5,3.849652,21,2
2,6,3.622745,19,10
1,6,3.839047,21,2
1,7,3.572998,20,4
1,8,3.314166,20,1
3,6,3.236010,17,17
2,7,3.525931,18,8
3,7,3.234946,17,7
3,8,3.232783,17,1
3,9,3.174881,17,10
3,10,3.112230,17,2
2,8,3.430537,18,17
1,9,3.252827,19,20
3,11,3.102736,16,7
1,10,3.181674,19,7
2,9,3.363908,18,10
3,12,3.027507,16,8
3,13,3.013335,15,7
3,14,3.004608,14,3
3,15,2.994901,13,5
1,11,3.167286,18,20
3,16,2.983804,12,8
3,17,2.963737,12,5
3,18,2.946609,12,4
2,10,3.324421,18,29
3,19,2.943669,12,5
1,12,2.964543,18,9
2,11,3.261171,18,1
3,20,2.926871,12,2
1,13,2.964414,18,6
3,21,2.906094,12,7
3,22,2.905222,12,6
2,12,3.255359,18,9
2,13,2.980332,18,3
3,23,2.870657,12,9
3,24,2.858034,12,1
3,25,2.853933,11,2
1,14,2.953874,17,17
2,14,2.968144,17,12
1,15,2.952751,17,13
3,26,2.853501,11,34
1,16,2.939437,16,22
2,15,2.872622,16,36
4,-1,4.997770,19,0
4,0,4.932972,19,1
1,17,2.929647,15,18
4,1,4.730608,20,2
4,2,4.589554,19,13
1,18,2.917694,14,16
4,3,4.540947,19,3
4,4,4.513172,19,3
1,19,2.902929,13,5
4,5,4.021220,18,6
4,6,3.999868,17,2
4,7,3.701485,17,4
2,16,2.872111,17,57
4,8,3.677677,16,9
1,20,2.897062,12,31
4,9,3.623985,16,5
4,10,3.516469,15,1
4,11,3.451005,14,8
1,21,2.843309,11,16
4,12,3.376173,14,29
4,13,3.336309,14,19
4,14,3.229482,14,5
5,-1,5.372223,19,0
4,15,3.181110,13,21
5,0,5.276409,19,8
6,-1,4.678490,20,0
5,1,4.051022,20,3
6,0,4.677733,20,6
5,2,3.872171,19,4
6,1,4.567474,19,5
6,2,3.768585,18,4
6,3,3.741679,18,4
5,3,3.818830,18,13
5,4,3.796823,18,1
6,4,3.741130,17,8
5,5,3.737864,17,7
5,6,3.683096,17,4
6,5,3.558871,17,7
5,7,3.661075,17,2
6,6,3.520783,17,4
5,8,3.600503,16,8
5,9,3.585216,16,3
6,7,3.520023,16,12
7,-1,4.377403,20,0
5,10,3.516232,15,6
6,8,3.465889,16,3
7,0,4.372526,20,3
6,9,3.453576,16,4
7,1,4.337308,19,5
5,11,3.466117,15,10
5,12,3.442410,15,4
7,2,4.330047,19,6
6,10,3.256951,16,9
7,3,4.307910,19,2
6,11,3.167059,16,3
5,13,3.401097,15,7
5,14,3.142484,15,2
5,15,3.110423,15,1
6,12,3.079498,15,4
5,16,3.078760,14,3
7,4,4.104314,19,10
7,5,4.088987,19,1
7,6,4.057159,18,2
6,13,3.045996,15,9
7,7,3.995440,18,3
7,8,3.968393,17,6
6,14,3.032620,14,10
7,9,3.837774,17,5
7,10,3.806421,16,10
6,15,3.029707,13,17
6,16,2.997719,13,4
7,11,3.522775,16,8
6,17,2.994267,12,4
5,17,3.078203,14,43
7,12,3.519584,16,4
5,18,3.038528,14,4
7,13,3.465967,16,1
6,18,2.991028,11,8
5,19,2.983257,13,5
7,14,3.332746,16,4
7,15,3.266147,16,3
6,19,2.983090,11,16
6,20,2.979522,10,9
7,16,3.251482,15,15
6,21,2.975644,9,11
6,22,2.971655,8,5
6,23,2.856151,8,17
7,17,3.224783,14,17
7,18,3.117995,14,2
7,19,3.100091,13,15
7,20,2.928551,13,11
8,-1,4.030749,19,0
9,-1,4.777039,19,0
9,0,4.299309,19,1
8,0,3.776602,19,2
8,1,3.731211,19,2
9,1,3.995677,18,4
8,2,3.644150,19,3
9,2,3.927638,18,8
9,3,3.899617,18,2
8,3,3.583847,18,8
9,4,3.834880,17,5
8,4,3.528736,17,3
9,5,3.764687,16,9
8,5,3.478765,17,9
9,6,3.730332,15,13
10,-1,4.040350,20,0
10,0,3.998027,20,4
9,7,3.698415,14,13
10,1,3.990382,20,1
8,6,3.420428,16,19
10,2,3.922659,19,8
10,3,3.852523,18,3
9,8,3.660004,13,21
10,4,3.692268,17,2
9,9,3.616366,12,8
10,5,3.664300,16,9
10,6,3.531195,16,1
10,7,3.399607,16,4
9,10,3.592999,12,14
8,7,3.356325,15,24
8,8,3.353747,15,1
8,9,3.287309,14,7
8,10,3.207605,14,2
8,11,3.186935,14,3
10,8,3.365035,15,18
8,12,3.059719,14,1
9,11,3.537874,13,34
8,13,3.051345,13,5
9,12,3.466964,13,6
8,14,3.015409,13,6
8,15,2.913473,14,4
9,13,3.365557,13,9
10,9,3.362543,14,16
9,14,3.351596,13,8
10,10,3.312537,14,4
9,15,3.312907,12,8
9,16,3.272347,12,4
9,17,3.263176,11,5
9,18,3.223791,11,2
9,19,3.176802,11,4
