Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
3,-1,3.864646,19,0
1,-1,4.324810,20,0
2,-1,5.159412,19,0
2,0,3.688417,20,92
1,0,3.285590,21,86
3,0,3.811616,19,91
2,1,3.523893,19,90
3,1,3.555831,18,98
1,1,3.188446,20,93
2,2,3.426344,18,91
3,2,3.447940,18,86
1,2,3.107363,19,90
2,3,3.348235,17,87
3,3,3.385790,17,92
1,3,3.019404,18,90
2,4,3.138825,18,85
3,4,3.319197,16,93
1,4,2.931733,17,83
2,5,3.072610,17,92
3,5,3.240836,15,96
1,5,2.864912,16,87
2,6,2.990985,16,84
3,6,3.180059,14,95
2,7,2.943689,15,77
1,6,2.787770,16,87
3,7,3.107113,13,92
2,8,2.892828,15,75
1,7,2.755667,16,82
3,8,3.038427,12,78
2,9,2.865539,14,78
1,8,2.750049,15,82
3,9,2.953688,11,80
2,10,2.809651,14,74
3,10,2.872622,11,79
2,11,2.799513,13,76
1,9,2.747889,14,85
4,-1,4.997770,19,0
2,12,2.784340,14,72
1,10,2.746377,13,89
4,0,4.192510,20,89
2,13,2.740755,13,83
1,11,2.744323,12,79
2,14,2.729653,12,81
4,1,3.880804,20,97
2,15,2.718867,11,75
5,-1,5.372223,19,0
2,16,2.710206,10,72
2,17,2.702912,9,54
4,2,3.631978,19,95
6,-1,4.678490,20,0
5,0,3.685365,18,89
4,3,3.529791,18,89
6,0,3.665824,20,92
5,1,3.601272,17,91
4,4,3.427269,17,88
6,1,3.347904,19,84
5,2,3.511002,16,93
4,5,3.181110,17,87
6,2,3.118387,18,88
5,3,3.401616,15,93
4,6,3.068436,17,85
5,4,3.326332,14,91
6,3,3.004979,18,81
4,7,2.933797,16,92
5,5,3.299371,15,87
6,4,2.934072,17,89
4,8,2.864889,15,84
5,6,3.068606,15,90
4,9,2.831333,14,77
6,5,2.919142,16,83
5,7,2.948330,15,90
4,10,2.718934,14,84
6,6,2.910414,15,85
4,11,2.709020,13,87
5,8,2.895391,14,80
6,7,2.894052,14,70
7,-1,4.377403,20,0
8,-1,4.030749,19,0
6,8,2.881667,13,71
7,0,3.731517,20,94
6,9,2.878222,12,76
8,0,3.723689,20,91
6,10,2.875216,11,69
6,11,2.858946,12,64
7,1,3.572424,19,89
6,12,2.855551,11,67
8,1,3.572545,20,86
6,13,2.854355,12,67
7,2,3.486860,19,94
6,14,2.842779,11,80
6,15,2.832582,10,72
8,2,3.476673,19,93
7,3,3.411544,18,91
6,16,2.828693,9,58
6,17,2.825249,8,56
9,-1,4.777039,19,0
7,4,3.179342,17,94
8,3,3.368389,18,92
9,0,3.808556,19,93
7,5,3.092068,16,93
8,4,3.324842,17,90
9,1,3.526888,18,93
7,6,3.033858,15,83
8,5,3.274940,17,91
9,2,3.291468,17,83
7,7,2.963705,14,87
8,6,3.226472,17,89
9,3,3.236664,16,71
7,8,2.953020,13,84
9,4,3.183385,15,69
7,9,2.931623,12,85
8,7,3.036539,16,89
9,5,3.118520,15,69
7,10,2.850143,11,80
8,8,2.967112,15,87
9,6,3.054089,14,76
7,11,2.838587,10,79
7,12,2.828373,9,67
9,7,2.979974,13,63
7,13,2.825799,8,57
8,9,2.882573,14,90
10,-1,4.040350,20,0
9,8,2.972647,12,71
9,9,2.970587,13,70
8,10,2.880749,13,82
11,-1,5.030011,15,0
10,0,3.712723,20,82
12,-1,5.400729,19,0
11,0,4.402521,14,76
10,1,3.557113,20,86
11,1,3.873528,14,79
12,0,4.326991,20,93
11,2,3.498035,13,72
10,2,3.488754,19,82
11,3,3.347949,12,81
12,1,3.942287,20,94
10,3,3.407622,18,81
11,4,3.115891,12,76
11,5,3.047098,11,72
10,4,3.343660,18,79
12,2,3.643504,19,91
11,6,2.953688,11,74
10,5,3.296637,18,82
11,7,2.941504,10,74
12,3,3.447269,18,90
13,-1,4.701659,18,0
10,6,3.235415,18,78
12,4,3.343327,17,83
10,7,3.216967,17,89
13,0,3.516684,18,87
10,8,3.212980,16,74
12,5,3.229482,17,83
13,1,3.449616,17,85
10,9,3.203356,16,76
12,6,3.181110,16,90
10,10,3.198179,15,72
13,2,3.377052,17,87
10,11,3.188356,15,73
14,-1,4.360345,20,0
10,12,3.182567,14,75
13,3,3.325540,16,90
10,13,3.088464,15,69
14,0,3.715782,21,82
10,14,3.030493,14,72
13,4,3.298236,16,88
10,15,3.025963,13,69
10,16,3.015994,12,75
14,1,3.578219,22,89
13,5,3.272840,16,90
10,17,3.007313,11,72
10,18,2.997896,10,65
10,19,2.945893,10,57
13,6,3.263505,15,90
14,2,3.454179,22,82
10,20,2.886464,10,77
10,21,2.844631,10,68
13,7,3.253851,14,84
10,22,2.835543,11,73
15,-1,4.333045,19,0
14,3,3.410780,21,84
13,8,3.236147,13,81
15,0,3.943506,18,93
13,9,3.221996,12,80
14,4,3.386781,20,86
13,10,3.205997,11,71
15,1,3.357950,19,91
13,11,2.860131,11,69
15,2,3.309743,18,92
13,12,2.856351,10,68
14,5,3.372775,19,86
13,13,2.852573,9,59
13,14,2.848580,8,50
15,3,3.225528,18,84
13,15,2.843628,7,50
14,6,3.361733,18,80
16,-1,3.781164,17,0
15,4,3.164694,17,88
16,0,3.674081,18,87
14,7,3.354118,17,82
15,5,3.103520,16,88
16,1,3.631457,17,89
14,8,3.121486,17,86
15,6,3.047262,15,90
16,2,3.534325,17,89
15,7,2.930597,14,88
14,9,3.043107,16,91
15,8,2.918032,13,83
16,3,3.473638,16,87
