Local Search Summary
====================
Data file: results/localsearch_20260120_034321.csv

Best Run: 2.0
Initial Bits/Base: 756405.000000
Final Bits/Base: 7255.000000
Improvement: 749150.000000
Steps Taken: 1
Total Neighbors Evaluated: 6

All Runs Comparison:
    Run  InitialBitsPerBase  FinalBitsPerBase  Improvement  ImprovementPct  StepsTaken  TotalNeighbors    Efficiency
3     2              756405              7255       749150       99.040858           1               6  1.248583e+08
21   20               90367             90367            0        0.000000           0              14  0.000000e+00
20   19              153375            153375            0        0.000000           0               6  0.000000e+00
2     1              676596            203965       472631       69.854241           1              13  3.635623e+07
19   18              216467            216467            0        0.000000           0               5  0.000000e+00
18   17              873016            232054       640962       73.419273           1              83  7.722434e+06
17   16              873016            244137       628879       72.035220           1              15  4.192527e+07
9     8              406830            250535       156295       38.417767           0              22  7.104318e+06
10    9              233675            250535       -16860       -7.215149           0              61 -2.763934e+05
6     5              589072            268225       320847       54.466517           0               9  3.564967e+07
1     0              726546            275742       450804       62.047551           1               7  6.440057e+07
16   15              964829            299248       665581       68.984349           1              14  4.754150e+07
15   14              976289            311331       664958       68.110775           1              20  3.324790e+07
5     4              874764            317911       556853       63.657512           0               9  6.187256e+07
4     3              930094            389842       540252       58.085742           0              25  2.161008e+07
14   13              990739            458481       532258       53.723332           1              21  2.534562e+07
0    -1              754761            497145       257616       34.132129           1               0  0.000000e+00
13   12                4993            498690      -493697    -9887.782896           0              14 -3.526407e+07
12   11               75512            501492      -425980     -564.122259           0              16 -2.662375e+07
11   10              143482            504413      -360931     -251.551414           0              14 -2.578079e+07
8     7              451625            560233      -108608      -24.048270           0              23 -4.722087e+06
7     6              792737            567674       225063       28.390626           0              37  6.082784e+06
23   22              880749            880749            0        0.000000           0               2  0.000000e+00
24   23              880749            880749            0        0.000000           0              69  0.000000e+00
22   21              898888            898888            0        0.000000           0              11  0.000000e+00
